#ROD_Channel ROC_Channel Straw# HW_addr Board GOL
64 9 541 12 2S 1
64 10 564 12 2S 1
64 11 588 12 2S 1
64 12 544 12 2S 1
64 13 502 12 2S 1
64 14 521 12 2S 1
64 15 523 12 2S 1
66 0 589 13 2S 1
66 1 656 13 2S 1
66 2 611 13 2S 1
66 3 634 13 2S 1
66 4 681 13 2S 1
66 5 635 13 2S 1
66 6 591 13 2S 1
66 7 657 13 2S 1
66 8 680 13 2S 1
66 9 613 13 2S 1
66 10 612 13 2S 1
66 11 658 13 2S 1
66 12 590 13 2S 1
66 13 614 13 2S 1
66 14 636 13 2S 1
66 15 592 13 2S 1
68 0 615 14 2S 1
68 1 659 14 2S 1
68 2 637 14 2S 1
68 3 593 14 2S 1
68 4 617 14 2S 1
68 5 661 14 2S 1
68 6 639 14 2S 1
68 7 638 14 2S 1
68 8 595 14 2S 1
68 9 660 14 2S 1
68 10 616 14 2S 1
68 11 662 14 2S 1
68 12 594 14 2S 1
68 13 640 14 2S 1
68 14 618 14 2S 1
68 15 596 14 2S 1
70 0 754 15 2S 1
70 1 731 15 2S 1
70 2 708 15 2S 1
70 3 729 15 2S 1
70 4 753 15 2S 1
70 5 685 15 2S 1
70 6 777 15 2S 1
70 7 683 15 2S 1
70 8 730 15 2S 1
70 9 706 15 2S 1
70 10 707 15 2S 1
70 11 684 15 2S 1
70 12 752 15 2S 1
70 13 776 15 2S 1
70 14 682 15 2S 1
70 15 705 15 2S 1
72 0 805 17 2L1 2
72 1 781 17 2L1 2
72 2 803 17 2L1 2
72 3 827 17 2L1 2
72 4 828 17 2L1 2
72 5 804 17 2L1 2
72 6 826 17 2L1 2
72 7 758 17 2L1 2
72 8 757 17 2L1 2
72 9 802 17 2L1 2
72 10 779 17 2L1 2
72 11 778 17 2L1 2
72 12 732 17 2L1 2
72 13 755 17 2L1 2
72 14 756 17 2L1 2
72 15 780 17 2L1 2
74 0 809 18 2L1 2
74 1 832 18 2L1 2
74 2 830 18 2L1 2
74 3 762 18 2L1 2
74 4 785 18 2L1 2
74 5 807 18 2L1 2
74 6 760 18 2L1 2
74 7 783 18 2L1 2
74 8 784 18 2L1 2
74 9 808 18 2L1 2
74 10 761 18 2L1 2
74 11 831 18 2L1 2
74 12 759 18 2L1 2
74 13 806 18 2L1 2
74 14 782 18 2L1 2
74 15 829 18 2L1 2
76 0 837 19 2L1 2
76 1 765 19 2L1 2
76 2 813 19 2L1 2
76 3 789 19 2L1 2
76 4 834 19 2L1 2
76 5 812 19 2L1 2
76 6 787 19 2L1 2
76 7 811 19 2L1 2
76 8 764 19 2L1 2
76 9 836 19 2L1 2
76 10 788 19 2L1 2
76 11 763 19 2L1 2
76 12 786 19 2L1 2
76 13 835 19 2L1 2
76 14 833 19 2L1 2
76 15 810 19 2L1 2
78 0 817 20 2L1 2
78 1 769 20 2L1 2
78 2 840 20 2L1 2
78 3 792 20 2L1 2
78 4 838 20 2L1 2
78 5 767 20 2L1 2
78 6 815 20 2L1 2
78 7 -2 20 2L1 2
