# Roi/ROB map file for the RPC system

maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   24   |  17 |    1   |  86
      0    |   24   |  18 |    1   |  86
      0    |   24   |  19 |    2   |  86 150
      0    |   24   |  20 |    2   |  86 150
      0    |   24   |  21 |    2   |  86 150
      0    |   24   |  22 |    2   |  86 150

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   25   |   1 |    1   |  62
      0    |   25   |   2 |    1   |  62
      0    |   25   |   3 |    2   |  14  62
      0    |   25   |   4 |    2   |  14  62
      0    |   25   |   5 |    1   |  62
      0    |   25   |   6 |    1   |  62
      0    |   25   |   7 |    1   |  62
      0    |   25   |   8 |    1   |  62
      0    |   25   |   9 |    2   |  62  78
      0    |   25   |  10 |    2   |  62  78
      0    |   25   |  11 |    1   |  78
      0    |   25   |  12 |    1   |  78
      0    |   25   |  13 |    2   |  78  94
      0    |   25   |  14 |    2   |  78  94
      0    |   25   |  15 |    1   |  94
      0    |   25   |  16 |    1   |  94

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   26   |   1 |    1   |  62
      0    |   26   |   2 |    1   |  62
      0    |   26   |   3 |    2   |  14  62
      0    |   26   |   4 |    2   |  14  62
      0    |   26   |   5 |    1   |  62
      0    |   26   |   6 |    1   |  62
      0    |   26   |   7 |    1   |  62
      0    |   26   |   8 |    1   |  62
      0    |   26   |   9 |    2   |  62  78
      0    |   26   |  10 |    2   |  62  78
      0    |   26   |  11 |    1   |  78
