# Roi/ROB map file for the RPC system

type: ATLAS
maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   17   |  20 |    2   | 62001c 62002c
      0    |   17   |  21 |    2   | 62001c 62002c
      0    |   17   |  22 |    2   | 62002c 64000c
      0    |   17   |  23 |    2   | 62002c 64000c

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   18   |   0 |    1   | 62000c
      0    |   18   |   1 |    1   | 62000c
      0    |   18   |   2 |    1   | 62000c
      0    |   18   |   3 |    1   | 62000c
      0    |   18   |   4 |    1   | 62000c
      0    |   18   |   5 |    1   | 62000c
      0    |   18   |   6 |    2   | 62000c 62001c
      0    |   18   |   7 |    2   | 62000c 62001c
      0    |   18   |   8 |    2   | 62000c 62001c
      0    |   18   |   9 |    2   | 62000c 62001c
      0    |   18   |  10 |    1   | 62001c
      0    |   18   |  11 |    1   | 62001c
      0    |   18   |  12 |    1   | 62001c
      0    |   18   |  13 |    1   | 62001c
      0    |   18   |  14 |    2   | 62001c 62002c
      0    |   18   |  15 |    2   | 62001c 62002c
      0    |   18   |  16 |    2   | 62001c 62002c
      0    |   18   |  17 |    2   | 62001c 62002c
      0    |   18   |  18 |    2   | 62002c 64000c
      0    |   18   |  19 |    2   | 62002c 64000c
      0    |   18   |  20 |    2   | 62001c 62002c
      0    |   18   |  21 |    2   | 62001c 62002c
      0    |   18   |  22 |    1   | 62002c
      0    |   18   |  23 |    1   | 62002c

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   19   |   0 |    2   | 620005 620030
      0    |   19   |   1 |    2   | 620005 620030
      0    |   19   |   2 |    2   | 620005 620030
      0    |   19   |   3 |    2   | 620005 620030
      0    |   19   |   4 |    2   | 620005 620030
      0    |   19   |   5 |    2   | 620005 620030
      0    |   19   |   6 |    3   | 620005 620015 620030
      0    |   19   |   7 |    3   | 620005 620015 620030
      0    |   19   |   8 |    3   | 620005 620015 620030
      0    |   19   |   9 |    3   | 620005 620015 620030
      0    |   19   |  10 |    2   | 620015 620030
      0    |   19   |  11 |    2   | 620015 620030
      0    |   19   |  12 |    2   | 620015 620030
      0    |   19   |  13 |    2   | 620015 620030
      0    |   19   |  14 |    3   | 620015 620025 620030
      0    |   19   |  15 |    3   | 620015 620025 620030
      0    |   19   |  16 |    3   | 620015 620025 620030
      0    |   19   |  17 |    3   | 620015 620025 620030
      0    |   19   |  18 |    3   | 620015 620025 620030
      0    |   19   |  19 |    3   | 620015 620025 620030
      0    |   19   |  20 |    2   | 620025 620030
      0    |   19   |  21 |    2   | 620025 620030
      0    |   19   |  22 |    3   | 620025 620030 640005
      0    |   19   |  23 |    3   | 620025 620030 640005
