Calo      Layer     Region     Eta  DATA
    1        1        0      240  0.02495
    1        1        0      241  0.02495
    1        1        0      242  0.02495
    1        1        0      243  0.02495
    1        1        0      244  0.02495
    1        1        0      245  0.02495
    1        1        0      246  0.02495
    1        1        0      247  0.02495
    1        1        0      248  0.02495
    1        1        0      249  0.02495
    1        1        0      250  0.02495
    1        1        0      251  0.02495
    1        1        0      252  0.02495
    1        1        0      253  0.02495
    1        1        0      254  0.02495
    1        1        0      255  0.02495
    1        1        0      256  0.02495
    1        1        0      257  0.02495
    1        1        0      258  0.02495
    1        1        0      259  0.02495
    1        1        0      260  0.02495
    1        1        0      261  0.02495
    1        1        0      262  0.02495
    1        1        0      263  0.02495
    1        1        0      264  0.02495
    1        1        0      265  0.02495
    1        1        0      266  0.02495
    1        1        0      267  0.02495
    1        1        0      268  0.02495
    1        1        0      269  0.02495
    1        1        0      270  0.02495
    1        1        0      271  0.02495
    1        1        0      272  0.02495
    1        1        0      273  0.02495
    1        1        0      274  0.02495
    1        1        0      275  0.02495
    1        1        0      276  0.02495
    1        1        0      277  0.02495
    1        1        0      278  0.02495
    1        1        0      279  0.02495
    1        1        0      280  0.02495
    1        1        0      281  0.02495
    1        1        0      282  0.02495
    1        1        0      283  0.02495
    1        1        0      284  0.02495
    1        1        0      285  0.02495
    1        1        0      286  0.02495
    1        1        0      287  0.02495
    1        1        0      288  0.02491
    1        1        0      289  0.02491
    1        1        0      290  0.02491
    1        1        0      291  0.02491
    1        1        0      292  0.02491
    1        1        0      293  0.02491
    1        1        0      294  0.02491
    1        1        0      295  0.02491
    1        1        0      296  0.02491
    1        1        0      297  0.02491
    1        1        0      298  0.02491
    1        1        0      299  0.02491
    1        1        0      300  0.02491
    1        1        0      301  0.02491
    1        1        0      302  0.02491
    1        1        0      303  0.02491
    1        1        0      304  0.02491
    1        1        0      305  0.02491
    1        1        0      306  0.02491
    1        1        0      307  0.02491
    1        1        0      308  0.02491
    1        1        0      309  0.02491
    1        1        0      310  0.02491
    1        1        0      311  0.02491
    1        1        0      312  0.02491
    1        1        0      313  0.02491
    1        1        0      314  0.02491
    1        1        0      315  0.02491
    1        1        0      316  0.02491
    1        1        0      317  0.02491
    1        1        0      318  0.02491
    1        1        0      319  0.02491
    1        1        0      320  0.02491
    1        1        0      321  0.02491
    1        1        0      322  0.02491
    1        1        0      323  0.02491
    1        1        0      324  0.02491
    1        1        0      325  0.02491
    1        1        0      326  0.02491
    1        1        0      327  0.02491
    1        1        0      328  0.02491
    1        1        0      329  0.02491
    1        1        0      330  0.02491
    1        1        0      331  0.02491
    1        1        0      332  0.02491
    1        1        0      333  0.02491
    1        1        0      334  0.02491
    1        1        0      335  0.02491
    1        1        0      336  0.02491
    1        1        0      337  0.02491
    1        1        0      338  0.02491
    1        1        0      339  0.02491
    1        1        0      340  0.02491
    1        1        0      341  0.02491
    1        1        0      342  0.02491
    1        1        0      343  0.02491
    1        1        0      344  0.02491
    1        1        0      345  0.02491
    1        1        0      346  0.02491
    1        1        0      347  0.02491
    1        1        0      348  0.02491
    1        1        0      349  0.02491
    1        1        0      350  0.02491
    1        1        0      351  0.02491
    1        1        0      352  0.02489
    1        1        0      353  0.02489
    1        1        0      354  0.02489
    1        1        0      355  0.02489
    1        1        0      356  0.02489
    1        1        0      357  0.02489
    1        1        0      358  0.02489
    1        1        0      359  0.02489
    1        1        0      360  0.02489
    1        1        0      361  0.02489
    1        1        0      362  0.02489
    1        1        0      363  0.02489
    1        1        0      364  0.02489
    1        1        0      365  0.02489
    1        1        0      366  0.02489
    1        1        0      367  0.02489
    1        1        0      368  0.02489
    1        1        0      369  0.02489
    1        1        0      370  0.02489
    1        1        0      371  0.02489
    1        1        0      372  0.02489
    1        1        0      373  0.02489
    1        1        0      374  0.02489
    1        1        0      375  0.02489
    1        1        0      376  0.02489
    1        1        0      377  0.02489
    1        1        0      378  0.02489
    1        1        0      379  0.02489
    1        1        0      380  0.02489
    1        1        0      381  0.02489
    1        1        0      382  0.02489
    1        1        0      383  0.02489
    1        1        0      384  0.02489
    1        1        0      385  0.02489
    1        1        0      386  0.02489
    1        1        0      387  0.02489
    1        1        0      388  0.02489
    1        1        0      389  0.02489
    1        1        0      390  0.02489
    1        1        0      391  0.02489
    1        1        0      392  0.02489
    1        1        0      393  0.02489
    1        1        0      394  0.02489
    1        1        0      395  0.02489
    1        1        0      396  0.02489
    1        1        0      397  0.02489
    1        1        0      398  0.02489
    1        1        0      399  0.02489
    1        1        0      400  0.02489
    1        1        0      401  0.02489
    1        1        0      402  0.02489
    1        1        0      403  0.02489
    1        1        0      404  0.02489
    1        1        0      405  0.02489
    1        1        0      406  0.02489
    1        1        0      407  0.02489
    1        1        0      408  0.02489
    1        1        0      409  0.02489
    1        1        0      410  0.02489
    1        1        0      411  0.02489
    1        1        0      412  0.02489
    1        1        0      413  0.02489
    1        1        0      414  0.02489
    1        1        0      415  0.02489
    1        1        0      416  0.02485
    1        1        0      417  0.02485
    1        1        0      418  0.02485
    1        1        0      419  0.02485
    1        1        0      420  0.02485
    1        1        0      421  0.02485
    1        1        0      422  0.02485
    1        1        0      423  0.02485
