   icalo   isamp   ireg     ieta      ua/DAC   MeV/uA    Atten    uA/DAC     MeV/uA (last two with attenuation corrections)
       2       1       4      52    0.025525   385.76    1.0000  0.025525    385.76
       2       1       4      53    0.025525   384.41    1.0000  0.025525    384.41
       2       1       4      54    0.025525   383.06    1.0000  0.025525    383.06
       2       1       4      55    0.025525   381.73    1.0000  0.025525    381.73
       2       1       4      56    0.025525   380.40    1.0000  0.025525    380.40
       2       1       4      57    0.025525   379.09    1.0000  0.025525    379.09
       2       1       4      58    0.025525   377.78    1.0000  0.025525    377.78
       2       1       4      59    0.025525   376.49    1.0000  0.025525    376.49
       2       1       4      60    0.025525   375.20    1.0000  0.025525    375.20
       2       1       4      61    0.025525   373.92    1.0000  0.025525    373.92
       2       1       4      62    0.025525   372.65    1.0000  0.025525    372.65
       2       1       4      63    0.025525   371.39    1.0000  0.025525    371.39
       2       1       5       0    0.025525   368.27    1.0000  0.025525    368.27
       2       1       5       1    0.025525   363.39    1.0000  0.025525    363.39
       2       1       5       2    0.025525   358.63    1.0000  0.025525    358.63
       2       1       5       3    0.025525   354.00    1.0000  0.025525    354.00
       2       2       0       0    0.076640   454.54    1.0000  0.076640    454.54
       2       2       1       0    0.076640   445.31    1.0000  0.076640    445.31
       2       2       1       1    0.076640   439.37    1.0000  0.076640    439.37
       2       2       1       2    0.076640   433.59    1.0000  0.076640    433.59
       2       2       1       3    0.153172   454.54    1.0000  0.153172    454.54
       2       2       1       4    0.153172   448.35    1.0000  0.153172    448.35
       2       2       1       5    0.153172   442.32    1.0000  0.153172    442.32
       2       2       1       6    0.153172   436.46    1.0000  0.153172    436.46
       2       2       1       7    0.153172   443.62    1.0000  0.153172    443.62
       2       2       1       8    0.153172   437.41    1.0000  0.153172    437.41
       2       2       1       9    0.153172   431.38    1.0000  0.153172    431.38
       2       2       1      10    0.153172   425.50    1.0000  0.153172    425.50
       2       2       1      11    0.153172   419.78    1.0000  0.153172    419.78
       2       2       1      12    0.153172   414.22    1.0000  0.153172    414.22
       2       2       1      13    0.153172   408.80    1.0000  0.153172    408.80
       2       2       1      14    0.153172   403.52    1.0000  0.153172    403.52
       2       2       1      15    0.153172   430.44    1.0000  0.153172    430.44
       2       2       1      16    0.153172   424.41    1.0000  0.153172    424.41
       2       2       1      17    0.153172   418.55    1.0000  0.153172    418.55
       2       2       1      18    0.153172   412.85    1.0000  0.153172    412.85
       2       2       1      19    0.153172   407.31    1.0000  0.153172    407.31
       2       2       1      20    0.153172   401.91    1.0000  0.153172    401.91
       2       2       1      21    0.153172   396.65    1.0000  0.153172    396.65
       2       2       1      22    0.153172   391.53    1.0000  0.153172    391.53
       2       2       1      23    0.153172   409.87    1.0000  0.153172    409.87
       2       2       1      24    0.153172   404.29    1.0000  0.153172    404.29
       2       2       1      25    0.153172   398.86    1.0000  0.153172    398.86
       2       2       1      26    0.153172   393.57    1.0000  0.153172    393.57
       2       2       1      27    0.153172   405.77    1.0000  0.153172    405.77
       2       2       1      28    0.153172   400.09    1.0000  0.153172    400.09
       2       2       1      29    0.153172   394.57    1.0000  0.153172    394.57
       2       2       1      30    0.153172   389.19    1.0000  0.153172    389.19
