314014 2011-04-29:05:25:29 180481 620 620 -1 9999-12-31:23:00:00 0 0 Y 1745 598 ON ON
256012 2011-04-29:17:15:30 0 0 -1 -1 2011-04-29:23:48:49 180609 1 N 1747 0 ON RAMP
142011 2011-04-30:06:27:10 180614 18 -1 18 2011-04-30:06:36:12 180614 27 N 1748 598 ON ON
142011 2011-04-30:07:07:28 180614 60 -1 60 2011-04-30:07:18:27 180614 71 Y 1748 598 ON ON
253004 2011-04-29:17:09:40 0 0 -1 -1 2011-04-29:23:48:59 180609 1 N 1746 1 RAMP RAMP
11003 2011-05-01:06:26:38 0 0 -1 -1 2011-05-01:06:37:23 0 0 N 1750 0 ON ON
51015 2011-05-01:05:18:58 180636 1007 -1 -1 2011-05-01:06:04:29 0 0 N 1750 0 ON ON
173003 2011-04-30:17:30:55 180636 299 -1 299 2011-04-30:17:32:05 180636 300 Y 1749 598 ON ON
292014 2011-04-30:08:08:59 180614 125 -1 -1 2011-04-30:10:32:11 180624 67 N 1749 0 ON ON
74006 2011-05-01:03:56:44 180636 926 930 1039 2011-05-01:06:02:58 0 0 Y 1749 598 ON ON
142011 2011-04-30:20:36:57 180636 485 -1 485 2011-05-01:06:04:12 0 0 N 1750 0 ON ON
294014 2011-04-30:08:08:59 180614 125 -1 -1 9999-12-31:23:00:00 0 0 N 1749 0 ON ON
142011 2011-05-01:19:29:44 180664 521 -1 -1 2011-05-01:19:35:26 180664 527 Y 1750 700 ON ON
66013 2011-05-04:13:51:31 180881 1 -1 -1 2011-05-04:13:55:45 180881 5 N 1757 0 RAMP RAMP
15011 2011-05-06:01:23:48 181134 1 -1 -1 2011-05-06:10:15:51 0 0 N 1760 0 OFF OFF
124009 2011-05-06:01:18:43 181134 1 -1 -1 2011-05-06:10:30:49 0 0 N 1760 0 OFF OFF
102001 2011-05-07:00:33:30 181220 293 -1 -1 2011-05-07:00:44:44 181220 304 N 1765 2 OFF OFF
315010 2011-05-19:23:36:06 182284 312 312 -1 2011-05-20:11:28:46 0 0 Y 1795 700 ON ON
