Towers  0 - 15 eta 1 side A ID 61  # MDT barrel A-side (Sub-detector ID = 0x61)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 1"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   06 || EIL4A13  EEL1A13 EEL2A13 EML4A13 EML5A13    -       -       -    |  12
   07 || EIL4A15  EEL1A15 EEL2A15 EML4A15 EML5A15    -       -       -    |  12

#   "eta 4"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   08 || BIS78A02 EES1A02 EES2A02 EMS4A02 EMS5A02    -       -       -    |  9
   09 || BIS78A04 EES1A04 EES2A04 EMS4A04 EMS5A04    -       -       -    |  9
   0A || BIS78A06 EES1A06 EES2A06 EMS4A06 EMS5A06    -       -       -    |  10
   0B || BIS78A08 EES1A08 EES2A08 EMS4A08 EMS5A08    -       -       -    |  10
   0C || BIS78A10 EES1A10 EES2A10 EMS4A10 EMS5A10    -       -       -    |  11
   0D || BIS78A12 EES1A12 EES2A12 EMS4A12 EMS5A12    -       -       -    |  11
   0E || BIS78A14 EES1A14 EES2A14 EMS4A14 EMS5A14    -       -       -    |  12
   0F || BIS78A16 EES1A16 EES2A16 EMS4A16 EMS5A16    -       -       -    |  12

}

Towers 16 - 31 eta 5 side A ID 63  # MDT EndCap A-side (Sub-detector ID = 0x63)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 5"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   10 || EIL23A01    -    EML3A01 EOL4A01 EOL5A01 EOL6A01    -       -    |  9
   11 || EIL23A03    -    EML3A03 EOL4A03 EOL5A03 EOL6A03    -       -    |  9
   12 || EIL23A05    -    EML3A05 EOL4A05 EOL5A05 EOL6A05    -       -    |  10
