#id/I:name/C:xsec/F:kfac/F:eff/F:relunc/F
# cross-sections are in pb

# DSID	Physics short								xsec	k-fac	eff		rel. unc.

##########################################################################################################################
# ttbar

361516          MadGraphPythia8EvtGen_A14NNPDF23LO_Znunu_Np1                  1200.0                1.2283          1.0000E+00         0.0                           
361517          MadGraphPythia8EvtGen_A14NNPDF23LO_Znunu_Np2                  387.08                1.2283          1.0000E+00         0.0                           
361518          MadGraphPythia8EvtGen_A14NNPDF23LO_Znunu_Np3                  110.09                1.2283          1.0000E+00         0.0                           
361519          MadGraphPythia8EvtGen_A14NNPDF23LO_Znunu_Np4                  43.469                1.2283          1.0000E+00         0.0                           
363123          MGPy8EG_N30NLO_Zmumu_Ht0_70_CVetoBVeto                        1715.0                1.141           8.3177E-01         0.0                           
363124          MGPy8EG_N30NLO_Zmumu_Ht0_70_CFilterBVeto                      1715.3                1.141           1.0869E-01         0.0                           
363125          MGPy8EG_N30NLO_Zmumu_Ht0_70_BFilter                           1715.7                1.141           5.9337E-02         0.0                           
363126          MGPy8EG_N30NLO_Zmumu_Ht70_140_CVetoBVeto                      84.555                1.141           7.1854E-01         0.0                           
363127          MGPy8EG_N30NLO_Zmumu_Ht70_140_CFilterBVeto                    84.59                 1.141           1.7433E-01         0.0                           
363128          MGPy8EG_N30NLO_Zmumu_Ht70_140_BFilter                         84.741                1.141           1.0825E-01         0.0                           
363129          MGPy8EG_N30NLO_Zmumu_Ht140_280_CVetoBVeto                     35.885                1.141           6.7462E-01         0.0                           
363130          MGPy8EG_N30NLO_Zmumu_Ht140_280_CFilterBVeto                   35.879                1.141           2.0020E-01         0.0                           
363131          MGPy8EG_N30NLO_Zmumu_Ht140_280_BFilter                        35.889                1.141           1.2631E-01         0.0                           
363132          MGPy8EG_N30NLO_Zmumu_Ht280_500_CVetoBVeto                     8.1909                1.141           6.2863E-01         0.0                           
363133          MGPy8EG_N30NLO_Zmumu_Ht280_500_CFilterBVeto                   8.1825                1.141           2.2864E-01         0.0                           
363134          MGPy8EG_N30NLO_Zmumu_Ht280_500_BFilter                        8.1731                1.141           1.4303E-01         0.0                           
363135          MGPy8EG_N30NLO_Zmumu_Ht500_700_CVetoBVeto                     1.2725                1.141           5.9669E-01         0.0                           
363136          MGPy8EG_N30NLO_Zmumu_Ht500_700_CFilterBVeto                   1.2666                1.141           2.4952E-01         0.0                           
363137          MGPy8EG_N30NLO_Zmumu_Ht500_700_BFilter                        1.2671                1.141           1.5348E-01         0.0                           
363138          MGPy8EG_N30NLO_Zmumu_Ht700_1000_CVetoBVeto                    0.44243               1.141           5.7283E-01         0.0                           
363139          MGPy8EG_N30NLO_Zmumu_Ht700_1000_CFilterBVeto                  0.44507               1.141           2.6215E-01         0.0                           
363140          MGPy8EG_N30NLO_Zmumu_Ht700_1000_BFilter                       0.44414               1.141           1.6216E-01         0.0                           
363141          MGPy8EG_N30NLO_Zmumu_Ht1000_2000_CVetoBVeto                   0.14712               1.141           5.5323E-01         0.0                           
363142          MGPy8EG_N30NLO_Zmumu_Ht1000_2000_CFilterBVeto                 0.14718               1.141           2.7808E-01         0.0                           
363143          MGPy8EG_N30NLO_Zmumu_Ht1000_2000_BFilter                      0.14755               1.141           1.7086E-01         0.0                           
363144          MGPy8EG_N30NLO_Zmumu_Ht2000_E_CMS_CVetoBVeto                  0.0055041             1.141           5.3654E-01         0.0                           
363145          MGPy8EG_N30NLO_Zmumu_Ht2000_E_CMS_CFilterBVeto                0.0055298             1.141           2.9139E-01         0.0                           
363146          MGPy8EG_N30NLO_Zmumu_Ht2000_E_CMS_BFilter                     0.0055334             1.141           1.7446E-01         0.0                           
363147          MGPy8EG_N30NLO_Zee_Ht0_70_CVetoBVeto                          1719.7                1.141           8.3317E-01         0.0                           
363148          MGPy8EG_N30NLO_Zee_Ht0_70_CFilterBVeto                        1719.0                1.141           1.0868E-01         0.0                           
363149          MGPy8EG_N30NLO_Zee_Ht0_70_BFilter                             1719.2                1.141           6.0290E-02         0.0                           
363150          MGPy8EG_N30NLO_Zee_Ht70_140_CVetoBVeto                        85.071                1.141           7.1880E-01         0.0                           
363151          MGPy8EG_N30NLO_Zee_Ht70_140_CFilterBVeto                      85.046                1.141           1.7684E-01         0.0                           
363152          MGPy8EG_N30NLO_Zee_Ht70_140_BFilter                           85.174                1.141           1.1322E-01         0.0                           
363153          MGPy8EG_N30NLO_Zee_Ht140_280_CVetoBVeto                       36.005                1.141           6.7415E-01         0.0                           
363154          MGPy8EG_N30NLO_Zee_Ht140_280_CFilterBVeto                     36.022                1.141           2.0371E-01         0.0                           
363155          MGPy8EG_N30NLO_Zee_Ht140_280_BFilter                          36.058                1.141           1.3200E-01         0.0                           
363156          MGPy8EG_N30NLO_Zee_Ht280_500_CVetoBVeto                       8.2072                1.141           6.3011E-01         0.0                           
363157          MGPy8EG_N30NLO_Zee_Ht280_500_CFilterBVeto                     8.212                 1.141           2.3180E-01         0.0                           
363158          MGPy8EG_N30NLO_Zee_Ht280_500_BFilter                          8.2435                1.141           1.5016E-01         0.0                           
363159          MGPy8EG_N30NLO_Zee_Ht500_700_CVetoBVeto                       1.275                 1.141           5.9916E-01         0.0                           
363160          MGPy8EG_N30NLO_Zee_Ht500_700_CFilterBVeto                     1.2745                1.141           2.5294E-01         0.0                           
363161          MGPy8EG_N30NLO_Zee_Ht500_700_BFilter                          1.2712                1.141           1.6103E-01         0.0                           
363162          MGPy8EG_N30NLO_Zee_Ht700_1000_CVetoBVeto                      0.44469               1.141           5.7798E-01         0.0                           
363163          MGPy8EG_N30NLO_Zee_Ht700_1000_CFilterBVeto                    0.44613               1.141           2.6649E-01         0.0                           
363164          MGPy8EG_N30NLO_Zee_Ht700_1000_BFilter                         0.44615               1.141           1.6965E-01         0.0                           
363165          MGPy8EG_N30NLO_Zee_Ht1000_2000_CVetoBVeto                     0.15241               1.141           5.6136E-01         0.0                           
363166          MGPy8EG_N30NLO_Zee_Ht1000_2000_CFilterBVeto                   0.15257               1.141           2.8633E-01         0.0                           
# mc16_13TeV.363167.MGPy8EG_N30NLO_Zee_Ht1000_2000_BFilter.merge.EVNT.e4866_e5984
363168          MGPy8EG_N30NLO_Zee_Ht2000_E_CMS_CVetoBVeto                    0.0056701             1.141           5.3502E-01         0.0                           
363169          MGPy8EG_N30NLO_Zee_Ht2000_E_CMS_CFilterBVeto                  0.0057408             1.141           3.0414E-01         0.0                           

##########################################################################################################################
# powheg+pythia8 Z+jets

361106          PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zee                          1901.1                1.02600047339   1.0000E+00         0.05                          
361107          PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu                        1901.2                1.02605444217   1.0000E+00         0.05                          
361108          PowhegPythia8EvtGen_AZNLOCTEQ6L1_Ztautau                      1901.1                1.02605444217   1.0000E+00         0.05                          

##########################################################################################################################
# sherpa 2.2.1 W+jets

308096          Sherpa_221_NNPDF30NNLO_Wenu2jets_Min_N_TChannel               6.803                 1.0             1.0000E+00         0.0                           
308097          Sherpa_221_NNPDF30NNLO_Wmunu2jets_Min_N_TChannel              6.8008                1.0             1.0000E+00         0.0                           
308098          Sherpa_221_NNPDF30NNLO_Wtaunu2jets_Min_N_TChannel             6.7983                1.0             1.0000E+00         0.0                           
364156          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CVetoBVeto          19150.0               0.9702          8.2442E-01         0.0                           
364157          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_CFilterBVeto        19142.0               0.9702          1.3091E-01         0.0                           
364158          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_BFilter             19140.0               0.9702          4.4614E-02         0.0                           
364159          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CVetoBVeto        945.66                0.9702          6.7285E-01         0.0                           
364160          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CFilterBVeto      945.82                0.9702          2.4374E-01         0.0                           
364161          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_BFilter           944.71                0.9702          8.4821E-02         0.0                           
364162          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CVetoBVeto       339.7                 0.9702          6.0015E-01         0.0                           
364163          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CFilterBVeto     339.81                0.9702          2.9170E-01         0.0                           
364164          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_BFilter          339.65                0.9702          0.110298           0.0                           
364165          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CVetoBVeto       72.072                0.9702          5.4755E-01         0.0                           
364166          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CFilterBVeto     72.093                0.9702          3.2013E-01         0.0                           
364167          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_BFilter          72.058                0.9702          1.2542E-01         0.0                           
364168          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV500_1000                 15.006                0.9702          1.0000E+00         0.0                           
364169          Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV1000_E_CMS               1.2348                0.9702          1.0000E+00         0.0                           
364170          Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CVetoBVeto           19152.0               0.9702          8.2467E-01         0.0                           
364171          Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CFilterBVeto         19146.0               0.9702          1.3087E-01         0.0                           
364172          Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_BFilter              19138.0               0.9702          4.4820E-02         0.0                           
364173          Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CVetoBVeto         944.68                0.9702          6.7487E-01         0.0                           
