# $Id: connectivity_table_A34_ISP_v33.dat,v 1.1 2007-03-22 13:44:42 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
Y1206S1	HV-PS-RACK	SLOT-1	Y1206S1_HV02	HV-PS-CRATE	UP
					
					
Y1206S1_HV01	HV-PS-CRATE	SLOT-0	Y1206S1_HV01_2A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-1	Y1206S1_HV01_3A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-5	Y1206S1_HV01_7A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-6	Y1206S1_HV01_8A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-7	Y1206S1_HV01_1A.Ch0-5	HV-PS	UP
Y1206S1_HV02	HV-PS-CRATE	SLOT-11	Y1206S1_HV02_1A.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-12	Y1206S1_HV01_2B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-13	Y1206S1_HV01_3B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-17	Y1206S1_HV01_7B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-18	Y1206S1_HV01_8B.Ch0-5	HV-PS	UP
Y1206S1_HV01	HV-PS-CRATE	SLOT-19	Y1206S1_HV01_1B.Ch0-5	HV-PS	UP
Y1206S1_HV02	HV-PS-CRATE	SLOT-23	Y1206S1_HV02_1B.Ch0-5	HV-PS	UP
					
					
Y1206S1_HV01_2A.Ch0-5	HV-PS	Module::HV-1	R-OHV1_2	HV-PP1	SLOT-HVPP1-1
Y1206S1_HV01_3B.Ch0-5	HV-PS	Module::HV-4	R-OHV2_1	HV-PP1	SLOT-HVPP1-4
Y1206S1_HV01_8A.Ch0-5	HV-PS	Module::HV-8	L-OHV1_2	HV-PP1	SLOT-HVPP1-8
Y1206S1_HV01_1A.Ch0-5	HV-PS	Module::HV-9	R-OHV1_0	HV-PP1	SLOT-HVPP1-9
Y1206S1_HV01_1B.Ch0-5	HV-PS	Module::HV-13	R-OHV1_1	HV-PP1	SLOT-HVPP1-13
Y1206S1_HV02_1B.Ch0-5	HV-PS	Module::HV-14	L-OHV2_1	HV-PP1	SLOT-HVPP1-14
Y1206S1_HV02_1A.Ch0-5	HV-PS	Module::HV-15	L-OHV2_0	HV-PP1	SLOT-HVPP1-15
Y1206S1_HV01_7A.Ch0-5	HV-PS	Module::HV-16	L-OHV1_0	HV-PP1	SLOT-HVPP1-16
Y1206S1_HV01_3A.Ch0-5	HV-PS	Module::HV-17	R-OHV2_0	HV-PP1	SLOT-HVPP1-17
Y1206S1_HV01_2B.Ch0-5	HV-PS	Module::HV-19	R-OHV1_3	HV-PP1	SLOT-HVPP1-19
Y1206S1_HV01_7B.Ch0-5	HV-PS	Module::HV-21	L-OHV1_1	HV-PP1	SLOT-HVPP1-21
Y1206S1_HV01_8B.Ch0-5	HV-PS	Module::HV-22	L-OHV1_3	HV-PP1	SLOT-HVPP1-22
					
					
R-OHV1_0	HV-PP1	SLOT-1	L1_B08_S2_A7	PP0	HV-B1
R-OHV1_1	HV-PP1	SLOT-9	SparePP0	PP0	HV-B9
R-OHV1_2	HV-PP1	SLOT-13	D2A_B03_S1	PP0	HV-B13
R-OHV1_3	HV-PP1	SLOT-19	L1_B09_S1_A6	PP0	HV-B19
R-OHV2_0	HV-PP1	SLOT-4	L1_B09_S2_A7	PP0	HV-B4
R-OHV2_1	HV-PP1	SLOT-10	L1_B10_S1_A6	PP0	HV-B10
L-OHV1_1	HV-PP1	SLOT-8	L1_B08_S1_A6	PP0	HV-B8
L-OHV1_0	HV-PP1	SLOT-16	L1_B07_S2_A7	PP0	HV-B16
